Heading,Review
One Star,Color fading wit jus first wash.. quality is ok but color fades soon
Four Stars,nice
good shoes nice fit and comfortable,good shoes nice fit and comfortable ...it creates some problem at begining bt after two to three times wear it will be ok
Five Stars,Good
Five Stars,GOOD.
Awesome product as,Awesome  product as expected
Too good product It's been 1 year still der s no ...,Too good productIt's been 1 year still der s no any issue with this product..
better be careful while choosing colours...,the pair fits perfectly..the prblm is with the colour they r too bright
Five Stars,Great product perfect fitLobe it.
8 size required,I want 8 no size
One Star,Bakwas!! Gatiya!!
Five Stars,Good product
Five Stars,Nice and fit
One Star,Shoe doesn't look like as it is in the image.
Four Stars,Good.
Best product.....,"Super comfort,excellent look one of best product of sparx..........."
One Star,Require size 8
Dissappointed,"Its not up to the Mark, it's shape is not exactly wat is showing in your website post .. disappointed"
Five Stars,Nice
